iter	Passed	Remaining
147	3330	19174
148	3352	19149
149	3373	19116
150	3396	19095
151	3416	19059
152	3437	19030
153	3459	19004
154	3480	18972
155	3501	18945
156	3521	18909
157	3541	18875
158	3563	18848
159	3583	18813
160	3602	18771
161	3622	18739
162	3643	18707
163	3665	18686
164	3686	18655
165	3708	18629
166	3730	18606
167	3751	18576
168	3772	18547
169	3793	18522
170	3814	18492
171	3835	18464
172	3857	18441
173	3878	18413
174	3899	18383
175	3919	18352
176	3942	18333
177	3962	18299
178	3983	18269
179	4001	18230
180	4022	18201
181	4043	18171
182	4064	18144
183	4083	18111
184	4105	18085
185	4126	18059
186	4146	18027
187	4165	17993
188	4189	17977
189	4211	17954
190	4232	17928
191	4252	17894
192	4272	17866
193	4293	17837
194	4313	17808
195	4334	17779
196	4358	17764
197	4377	17729
198	4397	17698
199	4416	17665
200	4437	17640
201	4458	17612
202	4478	17583
203	4498	17552
204	4518	17522
205	4540	17500
206	4560	17472
207	4581	17444
208	4601	17416
209	4622	17387
210	4642	17358
211	4662	17330
212	4682	17302
213	4702	17272
214	4723	17244
215	4743	17218
216	4764	17192
217	4785	17168
218	4805	17136
219	4825	17108
220	4845	17078
221	4866	17053
222	4887	17028
223	4906	16997
224	4927	16970
225	4946	16942
226	4966	16913
227	4987	16888
228	5006	16856
229	5026	16827
230	5046	16799
231	5065	16767
232	5087	16747
233	5107	16717
234	5127	16692
235	5149	16669
236	5168	16639
237	5187	16607
238	5207	16581
239	5228	16556
240	5248	16530
241	5268	16503
242	5289	16477
243	5308	16448
244	5328	16421
245	5350	16398
246	5369	16369
247	5389	16341
248	5408	16312
249	5429	16289
250	5450	16263
251	5469	16234
252	5489	16209
253	5509	16181
254	5528	16151
255	5549	16129
256	5568	16099
257	5588	16072
258	5608	16045
259	5628	16018
260	5648	15994
261	5667	15965
262	5688	15940
263	5707	15912
264	5727	15886
265	5748	15861
266	5768	15835
267	5790	15814
268	5810	15789
269	5831	15767
270	5851	15739
271	5871	15713
272	5891	15690
273	5911	15663
274	5932	15639
275	5952	15613
276	5972	15590
277	5992	15562
278	6012	15537
279	6032	15511
280	6051	15484
281	6070	15455
282	6090	15429
283	6109	15403
284	6130	15380
285	6149	15353
286	6170	15329
287	6190	15303
288	6211	15281
289	6244	15287
290	6280	15302
291	6330	15349
292	6369	15368
293	6391	15349
294	6414	15329
295	6435	15306
296	6457	15285
297	6480	15266
298	6501	15243
299	6522	15218
300	6543	15195
301	6565	15175
302	6585	15149
303	6607	15128
304	6628	15103
305	6648	15079
306	6669	15055
307	6690	15031
308	6710	15006
309	6731	14982
310	6751	14956
311	6772	14933
312	6792	14909
313	6812	14883
314	6832	14858
315	6853	14834
316	6873	14810
317	6894	14785
318	6915	14762
319	6949	14768
320	6970	14743
321	6998	14736
322	7019	14712
323	7039	14688
324	7060	14663
325	7079	14637
326	7100	14613
327	7120	14588
328	7141	14565
329	7186	14590
330	7228	14609
331	7258	14603
332	7279	14580
333	7301	14559
334	7321	14532
335	7341	14507
336	7362	14484
337	7383	14461
338	7404	14436
339	7425	14413
340	7446	14390
341	7466	14365
342	7487	14341
343	7508	14317
344	7527	14291
345	7547	14265
346	7567	14241
347	7587	14216
348	7607	14190
349	7627	14165
350	7647	14139
351	7666	14114
352	7687	14090
353	7708	14066
354	7728	14041
355	7748	14016
356	7768	13992
357	7789	13969
358	7810	13945
359	7832	13924
360	7853	13900
361	7873	13876
362	7893	13852
363	7913	13826
364	7934	13803
365	7954	13778
366	7974	13753
367	7996	13733
368	8019	13712
369	8040	13690
370	8061	13667
371	8081	13642
372	8101	13618
373	8122	13595
374	8142	13570
375	8165	13551
376	8189	13533
377	8214	13516
378	8236	13495
379	8261	13479
380	8289	13467
381	8308	13442
382	8329	13417
383	8350	13395
384	8371	13371
385	8392	13349
386	8415	13329
387	8436	13306
388	8455	13281
389	8478	13261
390	8499	13238
391	8520	13214
392	8540	13190
393	8560	13166
394	8581	13143
395	8601	13120
396	8622	13096
397	8641	13071
398	8662	13048
399	8682	13023
400	8702	12999
401	8722	12975
402	8742	12951
